date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:02	17439/17439	---M-Z	200	added ('OK')	application/javascript	etag:%2210243a036658cf0ddfa0b85a2c2998c9-ssl-df%22	https://cvio-jekyll.netlify.app/assets/js/main.js	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/js/main.js	(from https://cvio-jekyll.netlify.app/)
10:30:03	481/481	---M--	200	added ('OK')	image/svg+xml	etag:%22a6ea60477fa5d9a003d749d3ab2e43b9-ssl%22	https://cvio-jekyll.netlify.app/assets/images/search.svg	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/images/search.svg	(from https://cvio-jekyll.netlify.app/assets/css/style.css)
10:30:06	192122/192122	---MCZ	200	added ('OK')	application/octet-stream	etag:%22d3bea15b4ab809e32e50d9e7da1cdd57-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.eot	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:10	75408/75408	---M--	200	added ('OK')	font/woff2	etag:%22f91d01dcd0d448a7e61cd2e1f8797455-ssl%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.woff2	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:10	192122/192122	---M-Z	200	added ('OK')	application/octet-stream	etag:%22d3bea15b4ab809e32e50d9e7da1cdd57-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900d41d.eot	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:12	98016/98016	---MCZ	200	added ('OK')	application/font-woff	etag:%220575a833a1b3355c022f82080b57205e-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.woff	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:13	191836/191836	---M--	200	added ('OK')	font/ttf	etag:%22a0a270ee3c243ccf360a0d518e7ca0c5-ssl%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.ttf	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:18	129590/129590	---MCZ	200	added ('OK')	application/octet-stream	etag:%226fc1b2d2209062e8f1ce026d8b89b081-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.eot	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:18	129590/129590	---M-Z	200	added ('OK')	application/octet-stream	etag:%226fc1b2d2209062e8f1ce026d8b89b081-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400d41d.eot	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:18	839389/839389	---MCZ	200	added ('OK')	image/svg+xml	etag:%22c89a8c907ed087f2137a8c4f69b03678-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-solid-900.svg	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:19	74524/74524	---M--	200	added ('OK')	font/woff2	etag:%2252241ef1eb4c0e0f2b73091460abac05-ssl%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.woff2	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:21	87520/87520	---MCZ	200	added ('OK')	application/font-woff	etag:%223b4535e5cc5fe1e66f958c9de75aadbd-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.woff	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:22	129284/129284	---M--	200	added ('OK')	font/ttf	etag:%22dbac7f526085eef7f6de663bf0a35c30-ssl%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.ttf	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
10:30:24	691037/691037	---MCZ	200	added ('OK')	image/svg+xml	etag:%22bfa210b071d1c53a722cac786eff125f-ssl-df%22	https://cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/assets/webfonts/fa-brands-400.svg	(from https://cvio-jekyll.netlify.app/assets/css/fontawesome.css)
